,review_id,course_id,course_name
0,8217,2675,"Women Writing In India, Epics of India"
1,8218,1947,[CLME W4031] Cinema and Society in Asia and Africa
2,8220,2468,Religion and Postmodernism
3,8221,530,Mechanics
4,8222,1675,Film Theory I
5,8223,1889,[ENGL W3336] Shakespeare II
6,8225,2676,[ENGL W3690] Deep Sea Thought
7,8226,690,Elementary Yiddish I
8,8227,3633,[W3213] Intermediate Macroeconomics 
9,8228,2677,[ENGL BC3181] American Literature 1871-1945
10,8229,1667,Mafia Movies
11,8231,2406,18th Century Survey
12,8232,2170,bible and english literature
13,8233,588,[PHIL V3576] Physics and Philosophy
14,8234,310,[W3001] Structure and Style I
15,8235,904,Short Prose Forms
16,8236,1947,[CLME W4031] Cinema and Society in Asia and Africa
17,8237,2333,[POLS W1002] Introduction to Political Thought
18,8238,2339,[POLS G4415] Political Economy and the Sociology of Global Capitalism
19,8239,3379,[C1010] University Writing
20,8240,3379,[C1010] University Writing
21,8241,1166,[PHIL V3301] 20th Century Philosophy
22,8242,2679,[POLS BC3461] Latin American Politics
23,8243,2680,Life System
24,8244,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
25,8246,2681,[FYSB BC1333] Women and Culture II
26,8247,3797,[ANTH V1002] The Interpretation Of Culture
27,8248,2682,The Summons to Adventure
28,8249,1378,[ENGL BC3183] American Literature Since 1945
29,8252,2683,[ENGL BC3180] American Literature 1800-1870
30,8253,73,[MATH V1101] Calculus I
31,8255,5185,[MATH V1102] Calculus II
32,8257,469,[ENGL W4901] History of the English Language
33,8258,73,[MATH V1101] Calculus I
34,8259,2721,[HUMA W1123] Masterpieces of Western Music (Music Humanities)
35,8260,2684,Environmental Data Analysis
36,8262,91,Senior Seminar
37,8264,493,[PSYC W2460] Drugs and Behavior
38,8265,978,[PSYC BC1117] Behavioral Neuroscience
39,8266,1839,Ballet II
40,8267,2685,[BC3017] Economics of Business Organization
41,8268,2333,[POLS W1002] Introduction to Political Thought
42,8269,55,Roman Empire
43,8270,4020,[ASCM V2003] Introduction to Islamic Civilization
44,8271,55,Roman Empire
45,8274,5461,[CHNS C1102] Elementary Chinese II (N)
46,8275,2170,bible and english literature
47,8278,648,[ASCE V2002] Introduction to Major Topics in Asian Civilizations: East Asia
48,8279,1021,Evaluation of Evidence
49,8280,2688,[HIST W3891] Asia-Pacific Wars 1931-1975
50,8281,2689,Global History of the 1960s
51,8282,685,"[HIST W3206] The European Catastrophe, 1914-45"
52,8283,5216,[MATH V3050] Discrete Time Models in Finance
53,8285,1655,Ear Training III
54,8286,2674,The Earth System: Climate
55,8287,2632,[MATH W1003] College Algebra - Analytic Geometry (Precalculus)
56,8290,2915,[PSYC W1490] Experimental Psychology: Thinking and Decision-Making (w/ Lab)
57,8291,4642,[BIOL W2501] Contemporary Biology Laboratory
58,8292,2693,"Sociology of Sexuality, Junior Colloquium"
59,8293,73,[MATH V1101] Calculus I
60,8294,5176,[HIST BC1402] American Civilization Since the Civil War
61,8295,2873,[W3412] Introduction to Econometrics
62,8296,1459,[C1403] General Chemistry I
63,8297,4774,[Phys C1292] General Physics Lab II
64,8298,924,[PSYC BC1001] Intro to Psychology
65,8300,5706,[IEOR 4004] Intro to OR: Deterministic Models
66,8303,1459,[C1403] General Chemistry I
67,8304,4506,[HIST W3020] Roman Imperialism
68,8305,2699,"Colloquium, Ancient Traditions"
69,8306,5260,[V1202] Intermediate Italian II
70,8308,102,[POLS V1601] Introduction to International Politics
71,8309,3633,[W3213] Intermediate Macroeconomics 
72,8310,568,[AHIS BC1001] Introduction to Art History I
73,8312,4619,[PSYC BC1138] Social Psychology (lecture)
74,8313,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
75,8314,2702,[ANTH V3969] Specters of Culture
76,8315,1055,Renaissance Drama
77,8316,3585,[ASCE V2361] Introduction to East Asian Civilization: Japan
78,8317,1748,[COMS W3101] Programming Languages: C#
79,8318,3379,[C1010] University Writing
80,8319,3545,[C1101] Contemporary Civilization
81,8320,2704,Chem 1500 (Night Lab)
82,8321,2365,"[HIST W1010] Ancient Greek History, 800-146 BC"
83,8322,2705,Modern I
84,8323,2706,Principles of Thermodynamics
85,8324,2203,[C1404] General Chemistry II
86,8325,1123,[W3211] Intermediate Microeconomics
87,8326,2676,[ENGL W3690] Deep Sea Thought
88,8327,2696,G. Chem Lab 
89,8328,73,[MATH V1101] Calculus I
90,8330,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
91,8331,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
92,8332,2469,Intensive General Chemistry C2407
93,8333,1412,V2200 Solid Earth System
94,8334,4634,[STAT W1211] Intro to Statistics (B)
95,8335,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
96,8336,845,[HIST BC3467] America Since 1945
97,8337,1489,[HIST BC3062] Medieval Intellectual Life 1050-1400
98,8338,73,[MATH V1101] Calculus I
99,8339,3545,[C1101] Contemporary Civilization
100,8340,909,Origins of Literary Imagining
101,8341,2709,V3352 Literature/Culture Spain
102,8342,629,Imaginative Writing
103,8343,3379,[C1010] University Writing
104,8344,1902,[POLS V1501] Introduction to Comparative Politics
105,8345,5461,[CHNS C1102] Elementary Chinese II (N)
106,8346,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
107,8347,1123,[W3211] Intermediate Microeconomics
108,8348,1060,[BIOL W3208] Introduction to Evolutionary Biology
109,8349,73,[MATH V1101] Calculus I
110,8350,2056,[ASTR 1404] Beyond the Solar System
111,8351,2712,[MSAE 4206] Electronic and Magnetic Properties of Solids
112,8352,2713,[MSAE 3103] Elements of Materials Science
113,8353,137,[HUMA W1121] Masterpieces of Western Art (Art Humanities)
114,8354,2714,[BIOL W4158] Seminar in Nucleic Acids: Microbiology/Control of Infectious Diseases
115,8355,1116,[POLS W3285] Freedom of Speech and Press
116,8356,2715,[ASTR 2900] Frontiers of Astrophysics Research
117,8357,493,[PSYC W2460] Drugs and Behavior
118,8358,818,[POLS BC3335] Mass Media and American Democracy
119,8359,137,[HUMA W1121] Masterpieces of Western Art (Art Humanities)
120,8360,397,[COMS W3203] Discrete Mathematics
121,8361,1766,Latin American History: 1850 to Present
122,8362,2141,[HIST BC1062] Introduction to the Later Middle Ages: 1050-1450
123,8363,1808,"[PHYS C1402] Intro to Electricity, Magnetism and Optics"
124,8364,3601,[PSYC W1001] Science of Psychology
125,8365,993,"[E1201] Design of Bridges, Buildings, and Spacecraft"
126,8366,5470,[PHYS C1002] Physics for Poets II
127,8367,704,[SPAN C1201] Intermediate Spanish I
128,8368,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
129,8369,2717,SPAN V3353y Literature and Culture of Spain: Medieval
130,8370,609,W3200 Spanish Grammar and Composition
131,8371,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
132,8372,2628,History of Literary Criticism II
133,8374,481,[ASCE V2359] Introduction to East Asian Civilization: China
134,8376,3601,[PSYC W1001] Science of Psychology
135,8377,2333,[POLS W1002] Introduction to Political Thought
136,8378,102,[POLS V1601] Introduction to International Politics
137,8379,2643,[W2257] Global Economy
138,8380,137,[HUMA W1121] Masterpieces of Western Art (Art Humanities)
139,8381,2720,[HIST W3926] Historical Origins of Human Rights
140,8382,2721,[HUMA W1123] Masterpieces of Western Music (Music Humanities)
141,8383,2283,[E1102] Art of Engineering (Gateway Lab)
142,8384,2722,[APAM 1601] Introduction to Computational Math and Physics
143,8385,2295,Intro to study and theory of film
144,8386,924,[PSYC BC1001] Intro to Psychology
145,8387,2723,British Survey 1660 - 1800
146,8388,1777,Modern Drama I
147,8389,2724,[CLEN W4560] Backgrounds to Contemporary Theory
148,8390,310,[W3001] Structure and Style I
149,8391,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
150,8392,1908,[W1105] Principles of Economics
151,8393,2725,Spanish Lit: Enlightenment to Generation 1898
152,8394,3601,[PSYC W1001] Science of Psychology
153,8395,1481,[HIST W3540] History of the South
154,8397,413,Intermediate II
