,review_id,course_id,course_name
0,29674,2171,[1201] First-Year English: Women and Culture
1,29675,137,[HUMA W1121] Masterpieces of Western Art (Art Humanities)
2,29676,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
3,29677,3997,Introduction to Ear Training
4,29678,1071,BC1201 First Year English
5,29679,6025,[PHIL BC1001] Introduction to Philosophy
6,29680,5372,[MATH E1210] Ordinary Differential Equations
7,29681,5025,[BIOL W3008] Cellular Physiology of Disease
8,29682,6423,[PHIL C3192] Philosophy of Music Seminar
9,29683,6737,[HIST 3523] Histories of Health and Inequality in the Modern United States
10,29684,493,[PSYC W2460] Drugs and Behavior
11,29685,6796,[HIST BC3305x] Bodies and Machines: 1750-1945
12,29686,5671,[FRNB BC1204] Intermediate French II
13,29687,479,[ECON BC3041] The Theoretical Foundations of Political Economics
14,29688,6423,[PHIL C3192] Philosophy of Music Seminar
15,29689,5446,[ANTH 2028] Introduction to 21st Century Archaeology
16,29690,397,[COMS W3203] Discrete Mathematics
17,29691,254,[PHYS C1001] Physics for Poets I
18,29692,303,[C1100] Frontiers of Science
19,29693,6368,[Italian V1211] Intensive Elementary Italian
20,29694,3121,Italian Cultural Studies 1 & 2
21,29695,2818,[HIST W3719] History of the Modern Middle East
22,29696,6177,[W2330] Science for Sustainable Development
23,29697,54,[HIST W3535] History of the City of New York
24,29698,6249,[ENGL 1010] University Writing
25,29699,6798,[BC3006] Composition and Conversation
26,29700,3633,[W3213] Intermediate Macroeconomics 
27,29701,137,[HUMA W1121] Masterpieces of Western Art (Art Humanities)
28,29702,137,[HUMA W1121] Masterpieces of Western Art (Art Humanities)
29,29703,3545,[C1101] Contemporary Civilization
30,29704,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
31,29705,2729,[FREN W3405] Third-Year Grammar and Composition I
32,29706,2171,[1201] First-Year English: Women and Culture
33,29707,6799,[ECON V3025] financial economics 
34,29708,2670,Medieval Latin 3033 & 4152
35,29709,1860,First-Year-English The Americas II 
36,29710,1908,[W1105] Principles of Economics
37,29711,1129,[FREN W3421] Intro to French and Francophone studies
38,29712,2448,[HIST W3628] History of the State of Israel
39,29713,6800,[HIST W4176] European Merchants in the East
40,29714,2721,[HUMA W1123] Masterpieces of Western Music (Music Humanities)
41,29715,6762,[STAT 4315] Linear Regression Models
42,29716,6801,[FREN W3420] Intro to French and Francophone Studies I
43,29717,6802,[FREN W3600] France Past and Present: an Introduction to French Civilization
44,29718,4457,[PHYS C1403] Introduction to Classical and Quantum Waves
45,29719,6670,[EES V1201] Environmental Risks and Disasters
46,29720,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
47,29721,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
48,29722,6803,[RUSS V3223] Magical Mystery Tour
49,29723,1752,Electricity & Magnetism
50,29724,677,C1500 General Chemistry Lab
51,29725,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
