,review_id,review_date,review_text,agree_score,disagree_score,funny_score,professor_id,professor_name,course_id,course_name
0,50057,2014-11-14 00:00:00,"
Really surprised that neither this course nor Frank Nitsche have been reviewed. This class has three parts - the first two portions of the class use excel to perform statistical analysis and then the third covers ArcMap. Like most stats classes, I imagine, they start off pretty easy with mode/range terms and a few concepts get tough pretty quickly. In this class, it is possible to get by - and I mean get an A - purely on memorizing the statistical operations as Frank provides pretty substantial class notes via Courseworks. That being said, Frank is also very helpful and receptive to students that really want to understand. In fact, that seems like Frank's M.O. He's a very sweet professor, arguably a bit dry at times, but he means well and will give back to you exactly what you put in. I took this class because it was required, but it ended up being rather enjoyable for what it was. Also, it's a good way to get to know other folks in environmental departments - a lot of Columbia Sus Dev majors, Barnard environmental policy, etc. 

Workload:
Homework assignment every week that can be finished in Thursday's class, midterm, in-class final, and three larger lab reports corresponding to the three sections. Very straightforward. There is work, but it's not stressful. Recommend this course. 
",0,0,0,12994,"Nitsche, Frank",7197,Lit Hum
1,50058,2014-11-14 00:00:00,"
Cindy Gorn is a very cool person and her classroom environment is one of mutual respect between her and her students. As a result, this is not a stressful class because Cindy is very understanding. 
Notice that this course is called GIS: Methods & Case Studies. I didn't really know what that meant when I enrolled, but it means that beyond learning the technical aspect of GIS, you read and discuss the process involved in making maps. It's not the most interesting thing to me, but it's definitely a respectable field that everyone can comment on in one way or another. Also, since this is an intro-level GIS class that focuses on the mapmaking process rather than purely results, if certain portions of your case studies (essentially labs) don't come out the way you intended, you only need to explain what happened. 
Overall, I am very happy that I took this course and so pleased that I waited to take this with Cindy. She is adjunct professor and I don't know how long she will be around, but if you get the opportunity to take this class from her, I definitely recommend it. 

Workload:
Daily readings (you should aim to read most of them especially since sometimes entire classes are dedicated to discussing them), three case studies (1 or 2 maps and a 2-page write-up), and a final project of your choosing. 
",0,0,0,12995,"Gorn, Cindy",7197,Lit Hum
2,50141,2014-11-14 00:00:00,"
This course is an awesome take for anyone interested in criminal justice, community organizing, immigration, or pretty much any field that has intersections with the law and race & ethnicity. In any given class you'll be discussing multiple federal cases in depth but OuYang is more interested in the forest than the trees. She wants you to have a good understanding of the legal reasoning behind the case, of course but wants you to put it in the context of the history of race & ethnicity in America (past & present) and its relationship to the constitution and courts. She's a strong believer in the power of community organizing and often says that even if a lawyer's legal reasoning is correct (that they have an ""ace in the hole"" so to speak) it is difficult to achieve major victories without the force of public opinion. As an immigration and disabilities lawyer herself (not to mention the President of the Organization of Chinese Americans - NY) she can point to numerous examples of this happening in practice.
All in all the readings are enjoyable and the discussions are engaging. If law and its relationship to social justice interest you this is a course you should take. 
Workload:
Readings can be dense but pretty enjoyable if you enjoy reading SCOTUS cases. Assignments and readings are definitely manageable too.
",2,1,0,2387,"Ouyang, Elizabeth",7197,Lit Hum
3,50180,2014-11-14 00:00:00,"
EMMA IS THE BEST
I am currently taking Emma (since she's a Ph.D. candidate she would rather be called by her first name rather than Professor) for University Writing but I've decided to write a review since many people are getting ready to register for classes.
University Writing is one of those classes that we are all required to take and many people thread this but taking class with Emma has been both productive and engaging. She's very approachable, understanding and overall an extremely sweet person. Her readings are all interesting which makes it easier when writing the papers. Her feedback is always precise and clear so take advantage of her office hours!! 
I have grown so much as a writer, I HIGLY recommend taking UW with Emma!
Workload:
Same as any UW class, 3 papers and the final paper.
",3,0,0,12998,"O'Loughlin, Emma",7197,Lit Hum
4,50935,2014-11-16 00:00:00,"
Not bad. He may come off as boring. And well he kinda is. But this is stat. And the class did seem 3 times as big during midterms. BUUUUUT. As soon as I started going and paying attention beginning to end, I was really really really happy I did. He is a great guy with a strong grasp of material. He explains what he wants you to know attentively and clearly. He rights basically everything on the board. Most importantly though, he's very straightforward. No surprises here. Went to office hours once, he explains things even better. I definitely recommend using that resource. I was gonna drop the class in the beginning, glad I gave him a chance.
Workload:
problem set a week
around 4 hours
got easier as the year progressed
2 midterms and a final
very straightforward
all in all, reasonable
",3,0,0,13065,"Neath, Ronald ",7197,Lit Hum
5,51262,2014-11-16 00:00:00,"
His class is where GPAs go to die.  Everybody gets a C/C+ on the first essay then are told the grades will be better on the second essay.  Then everybody gets a C+/B-.  Good luck trying to get an A - you'll be extremely frustrated.
Workload:
Extremely rigorous.  Reading can be assigned at over 125 pages on Monday due for class on Wednesday.  
",3,5,0,4590,"Martin, Darragh",7197,Lit Hum
6,51264,2014-11-16 00:00:00,"
His class is where GPAs go to die.  Everybody gets a C/C+ on the first essay then are told the grades will be better on the second essay.  Then everybody gets a C+/B-.  Good luck trying to get an A - you'll be extremely frustrated.
Workload:
Extremely rigorous.  Reading can be assigned at over 125 pages on Monday due for class on Wednesday.  
",8,7,0,4590,"Martin, Darragh",7197,Lit Hum
7,52013,2014-11-17 00:00:00,"
Professor Amar is an incredible teacher! After having taken CC with him I chose to take his Soviet Cinema course and couldn't be happier that I did. The films he picks are incredibly interesting and his vast (almost unsettlingly so) knowledge of soviet history and culture is actually incredible. He is an expert as well in Ukranian history and gives you interesting insights into current events.  He has a quirky sense of humor so expect to be treated to the occasional Stalin joke. His perspective on grading seems to be that if you show interest and put in the time you deserve to do well. As a result everyone in his class seems relaxed and genuinely enthused by the material and does the work out of sincere interest in the course rather than out of panic that they will fail. A really nice and knowledgable professor and a very interesting course overall! I second other reviewers opinions when I say this man is a gem!
Workload:
weekly readings and films for discussion + 1 presentation + 1 final paper 12 pgs.
",6,0,0,7461,"Amar, Tarik",7197,Lit Hum
8,52043,2014-11-17 00:00:00,"
This Professor is THE WORST PROFESSOR EVER.
She would never give review on your essays, she will give feedback after you the deadline, she is so confusing. Your class will grow a bond after hating her for 3 months. You will not get an A, because A is for people who can write like Fitzgerald. 
Be prepared to never never get any feedback. She is often late, and will make you wait in class to compensate for the time loss, as if it was the class' fault.
DO NOT CHOOSE THIS PROFESSOR. If you can, change it!!! it doesn't matter if you want to take a class and this one fits your schedule, DO NOT REGISTER FOR THIS!!!!
worst. professor. ever.

Workload:
It would be a normal amount of work if she gave you feedback. Since she doesn't, you'll constantly have to go to the writing center, otherwise you'll fail the class.
more or less 800 words per week, and peer reviews oncce evry two weeks.
",1,1,1,13000,"Desai, Sneha",7197,Lit Hum
9,52089,2014-11-17 00:00:00,"
Guada an incredible professor, hands down. For one, she's absolutely hilarious, and is very concerned with keeping the whole class engaged. We watched all sorts of youtube videos, movies, listened to songs, etc. We went on field trips to museums and movie screenings, too! 
She does tend to speak quickly, and sometimes it takes a moment or two for your brain to process what it is that she's saying, but overall i had little trouble understanding her. Tons of fun group work. There's also a lot of useless textbook homework that no one ever does (or needs to do!) and it's never reviewed in class. 
GOLD NUGGET!!!! I CANNOT RECOMMEND HER ENOUGH.
Workload:
 She goes over grammatical concepts with helpful power points, and assigns essays 200 words in length after each section. My longest essay was 400 words. ARE YOU READING THIS COLUMBIA?!! 200-400 word essays, they're graded leniently too!! One midterm, one final. Maybe three 200 word essays, one 400 word essay, a final video project, final. 
",1,0,0,3099,"Ruiz-Fajardo, Guadalupe",7197,Lit Hum
