,review_id,review_date,review_text,agree_score,disagree_score,funny_score,professor_id,professor_name,course_id,course_name
0,6952,2003-12-03 00:00:00,"
DEAR LORD, SAVE YOURSELF!!!!!!!!!
At first she comes off as this really sweet old lady, with full intentions of helping you learn and appreciate the Spanish language.  Little do you know the amount of time and effort needed to exceed in the class.  If she were the slightest bit exciting or lively, maybe the class might have been a bit more tolerable at 9am.  DO NOT piss this woman off or get on her bad side, b/c she will turn into the most condescending woman alive.  Nothing you do will ever please her.   Tardiness for any reason is unacceptable.  She's not as understanding as she looks.  Be aware!  I've seen she tends to be twice as hard on the native spanish speakers, trying to change the language that they are accustomed to.  In other words, don't take the class if you don't have to.
Workload:
Numerous never-ending articles and long essays
",9,5,2,1825,"Borgman, Ruth",7197,Lit Hum
1,6953,2003-12-03 00:00:00,"
Lawrence Hon is the most helpful TA in the math department. I had a problem with my homework so I went to his office hours and his explanation was crystal clear. he even offered to help me via email and phone. I can count on him at any time because it seems as if he never sleeps. Anyway, go to his office hours. He is superb!!!!
Workload:
N/A
",7,6,0,1835,"Hon, Lawrence (TA)",7197,Lit Hum
2,6954,2003-12-04 00:00:00,"
This was honestly one of the worst classes I've ever taken.  Prof Balsam in some ways does a good job at making the rather dry ideas more accessible through his numerous everyday examples.  However, I do not believe that makes up for his extreme arrogence and self involvement.  The last few weeks of the semester he decided to torture the people who came into class late, which in my opinion was grossly inappropriate, and frustrating to both the people who came in late, and those of us that had come on time.  The lab was by far the worst portion of the class.  The assignments were incredibly time consuming and didn't actually help you learn everything.  Additionally, there were 3 full APA papers, which is ridiculous for a 1.5 credit lab.  The new lab technician (Dr Florer) was unclear in her expectations, and completely inconsistent in her grading.  Although she seems like a nice person, she is highly emotional, and a disaster to have as a prof.  So, unless you have an enormous interest in the psych of learning, I would STRONGLY recommend that you find another class.
Workload:
Lecture: reasonable, 3 exams.  Lab: average about 5 pages of writing per week in the beginning, and then 3 full APA papers in the second half of the semester.
",2,2,0,838,"Balsam, Peter",7197,Lit Hum
3,6956,2003-12-04 00:00:00,"
AHH, dont take this class! you will regret it! the grading is totally arbitrary and the subject matter is ridiculous.  you study chinese history from prehistory to modern day in one semester.  so essentialy you learn nothing.  the class is taught like a high school history class but grades like its an upper level ealac class.  Horrible idea for an easy major cultures, horrible idea in general.  stay away!
",5,1,0,1280,"Lean, Eugenia",7197,Lit Hum
4,6957,2003-12-04 00:00:00,"
I loved this class.  Its my favorite class in political science yet.  The subject matter is so relevant, and you will learn some really cool stuff.  He's a great lecturer with great anecdotes and organization.  
Workload:
a lot of reading, pretty constant heavy load.  midterm, 10-12 pg paper, final
",1,1,0,847,"Cooley, Alexander",7197,Lit Hum
5,6958,2003-12-04 00:00:00,"
Justin is very very cool, and not simply because he's buying the class beer after the last day of class, nor because he has a bizarre, hilarious sense of humor that will leave you stifling huge guffaws of laughter in class, but simply because he loves teaching this class. This is one of those few classes at Columbia that was one of the most pleasurable activities all week. If you're a film major, and you're interested in making films (as opposed to writing film criticism), you should enjoy this class, but Justin is such a perceptive, intelligent, articulate instructor that this class absolutely shone. Not only does he know everything you would need to learn in this class, but he knows it like the back of his hand. Even any criticism he may have for your work is expressed out in such an overwhelmingly encouraging manner that it's hard not to thank him secretly for noticing all the little details that you spent so much atttention on while doing your exercises. While he is not afraid to point out your flaws if he thinks you did something wrong, he will make sure to make you laugh twice as hard in class if he thinks you need cheering up. Justin made this class a pleasure. He doesn't really believe in deadlines for the video exercises, so it's easy to get an extension for your work if you want, but exercise caution. I think it depends on what kind of person you are, if you really need deadlines to finish your work, you may find yourself trailing in this class, but if  you're a steady worker, you'll be fine. Justin is by far one of the best instructors I've had at Columbia.  
Workload:
The video exercises for this class are among the most fun you can have doing schoolwork for a grade. Watch out,  start your final film in time, or it'll come back and bite you in the ass when it's almost time for the project to be shown in class and you're still shooting footage.
",4,0,0,1827,"Marshall, Justin",7197,Lit Hum
6,6959,2003-12-04 00:00:00,"
I found Aesthetics of the Grotesque very disappointing The concept of the class was great, and the readings selected were varied and interesting. However, Professor Grimm failed to give the class any direction. He was very stiff in class, and wasted a lot of time repeating comments he had already made. Overall, he gave no feedback on our comments in class, and what feedback he did give was often conflicting or confusing. This made the class frustrating.  
Workload:
Lots of reading; three papers and a final.
",1,8,0,1828,"Grimm, Erk",7197,Lit Hum
7,6960,2003-12-04 00:00:00,"
Zhao Laoshi is new from Beijing.  She apparently taught for Columbia's summer program there.  She's very sweet, BUT, and this is a big BUT, she is just a horrible, horrible teacher.  Though her English seems like it's not that bad, she is incapable of explaining usage, etc. beyond the very short explanation she prepared for the class. Be fully prepared to teach this section of Chinese to yourself. 
Workload:
Usual for a Chinese class (a lot, if you want to do well -- and more with Zhao Laoshi since you have to go back home and figure out a whole lot b yourself).
",0,0,0,1829,"Zhao, Congmin",7197,Lit Hum
8,6961,2003-12-04 00:00:00,"
In the words of a great swedish composer ""Bingo!"" - you've lucked out if your in Johan's Music Hum class.  He is just an all around nice guy, is very easy to talk to, and really cares about his students.  Whats more important, though, is that he really does know a great deal about the subject - you will come out of the class with a much greater appreciation and understanding of music.  Although it is sometimes difficult to understand his accent, Johan's cheerful demeanor, generous nature, and odd, yet funny habits make his class really great.  Take it!   
Workload:
Standard: Midterm and final.  One concert report (app. 6 pages) and one research paper (app. 10 pages).  Very occassional short answer assignments.
",12,9,0,1830,"Tallgren, Johan",7197,Lit Hum
9,6962,2003-12-04 00:00:00,"
Professor Russell is a very brilliant person: she's well read in political science literature and knows plenty about public policy and social welfare.  However, all of this does not come through in her lectures: she's rather boring, speaks too quickly, and inserts ""UM""s between every few words.  You will leave her class scratching your head trying to find the point of her lecture, and you won't be the only one either: the TAs all agree that her lectures are disorganized and not cohesive at all.  Also, she assigns WAY too much reading for the class, and don't even think of skipping any-it all appears on either the midterm or the final.  Finally, attendance does count (so sign the sheet!), and since this is a 9 AM class, it can be pretty hard to get to class sometimes.  My advice?  Skip Russell's version of the class, and take it with someone who is a better teacher.
Workload:
Midterm (take home, 10 pages); 10-page research paper; final; TONS of reading, and ATTENDANCE!
",3,0,0,171,"Russell, Judith",7197,Lit Hum
10,6964,2003-12-04 00:00:00,"
Professor Helgeson is a really wonderful teacher. He mediates some very interesting class discussions and tries to give everyone a chance to speak. He's incredibly insightful about the books we read (which are for the most part also good choices), and he always brings up some interesting questions. He tries to tie philosophy into the discussions as well. He's very approachable after class also, which is the best way to speak with him about a certain text. He's very nice and seems to enjoy one-on-one discussions. I recommend this class STRONGLY to anyone who's interested in continuing with French past the advanced language levels.
Workload:
Pretty easy- one 3-4 page paper, one 5-6, a midterm and a final. He's a fair grader but he will sometimes give extensions... His workload tries to accomodate everyone.  
",2,0,0,389,"Helgeson, James",7197,Lit Hum
11,6966,2003-12-04 00:00:00,"
He's actually a decent teacher when we have class, which brings us to the major strike against him. I actually lost track of how many classes were cancelled. I think he was legitimate most of the time, but that can only excuse so many absenses.
Workload:
Translation exercises every once in a while. Take home final that's fairly easy.
",0,0,0,1831,"Miller, Marc",7197,Lit Hum
